instance,type,n,m,direct,indirect,eliminate_time_s
supportcase14,easy,608,5204,11,2,0.00
supportcase16,easy,638,6084,11,2,0.00
acc-tight5,easy,2678,20859,8,13,0.02
neos-1330346,easy,5328,6624,36,0,0.00
neos-831188,easy,9224,35734,20,0,0.05
neos-1324574,easy,10512,10512,36,0,0.00
bley_xl1,easy,11662,21943,7,86,0.03
cap6000,easy,12000,12107,33,43,0.02
air04,easy,17808,2121648,0,2,1.64
ex9,easy,20808,1891146,100,0,1.66
decomp1,easy,21470,62322,1344,0,0.09
air03,easy,21514,32095418,0,2,23.25
neos-633273,easy,22308,123926,484,0,2.25
neos-3148108-pahi,easy,24482,69020,6982,0,5.13
decomp2,easy,28774,105208,1792,0,3.40
supportcase22,hard,14258,11869,640,0,0.03
neos-4954274-beardy,hard,25730,193199,180,0,1.17
supportcase10,hard,29540,67414,4924,0,8.38
supportcase2,open,5824,4800,512,0,0.01
