instance,n,m,direct_G1,indirect_G1,improvement_pct,eliminate_time_s
supportcase14,608,5204,18,6,45.83,0.00
supportcase16,638,6084,18,6,45.83,0.00
acc-tight5,2678,20859,12,19,32.26,0.04
neos-1330346,5328,6624,36,0,0.00,0.02
neos-831188,9224,35734,20,0,0.00,0.05
neos-1324574,10512,10512,36,0,0.00,0.02
bley_xl1,11662,21943,9,90,6.06,0.03
cap6000,12000,12107,33,43,0.00,0.02
air04,17808,2121648,1,2,33.33,1.80
ex9,20808,1891146,100,0,0.00,1.89
decomp1,21470,62322,2016,0,33.33,0.16
air03,21514,32095418,0,2,0.00,24.44
neos-633273,22308,123926,484,0,0.00,0.32
neos-3148108-pahi,24482,69020,15974,0,56.29,10.45
decomp2,28774,105208,2688,0,33.33,1.35
