instance,type,n,m,hopscotch_pairs,hopscotch_time_s,square_pairs,square_time_s
supportcase14,easy,608,5204,1932,0.16,0,0.03
supportcase16,easy,638,6084,2409,0.17,0,0.03
acc-tight5,easy,2678,20859,36867,2.13,0,0.62
neos-1330346,easy,5328,6624,2592,9.10,0,1.96
bnatt400,easy,7200,11639,36880,18.10,0,4.40
neos-831188,easy,9224,35734,7180,44.80,0,5.46
neos-1324574,easy,10512,10512,5184,41.79,0,7.35
bley_xl1,easy,11662,21943,6908,53.66,0,11.53
cap6000,easy,12000,12107,167,11.74,0,56.42
air04,easy,17808,2121648,6006,148.15,0,25.91
ex9,easy,20808,1891146,217540,191.49,0,35.84
decomp1,easy,21470,62322,54798,193.40,0,39.03
air03,easy,21514,32095418,6314,443.25,0,37.65
neos-633273,easy,22308,123926,10164,615.01,0,32.97
neos-3148108-pahi,easy,24482,69020,4639605,337.46,0,40.09
decomp2,easy,28774,105208,98312,419.64,0,69.95
reblock354,hard,7080,23426,329674,32.05,0,3.02
opm2-z10-s4,hard,12500,166875,1457500,98.93,0,12.03
opm2-z12-s8,hard,21600,330300,4484700,323.48,0,29.23
neos-4954274-beardy,hard,25730,193199,950384,333.56,0,51.64
supportcase10,hard,29540,67414,2138622,719.51,0,55.41
circ10-3,open,5400,40860,15210,13.10,0,1.80
supportcase2,open,5824,4800,256,19.53,0,2.19
rmine11,open,24584,109659,10896338,8.44,0,1.24
core2586-950,open,26452,13247,11,989.16,0,43.53
