instance,type,n_literals,t_scc_s,t_elim_s,t_fix_s,direct_elim,indirect_elim,zero_fix,one_fix
academictimetablesmall,easy,57852,1.08,0.08,0.78,86,45,0,2
acc-tight5,easy,2678,0.02,0.00,0.02,6,19,117,0
air03,easy,21514,23.55,0.11,8.35,0,2,0,0
air04,easy,17808,1.55,0.02,0.53,1,2,29,0
bley_xl1,easy,11662,0.03,0.02,0.00,9,90,0,0
bnatt400,easy,7200,0.01,0.00,0.02,0,0,5,0
bnatt500,easy,9000,0.02,0.00,0.02,0,0,9,0
cap6000,easy,12000,0.03,0.01,0.00,33,43,46,0
decomp1,easy,21470,0.06,0.00,0.04,1344,0,0,0
decomp2,easy,28774,0.09,0.02,0.04,1792,0,0,0
ex10,easy,35360,3.22,0.02,1.28,56,0,20,0
ex9,easy,20808,1.48,0.01,0.56,100,0,8,0
neos-1324574,easy,10512,0.02,0.00,0.00,36,0,0,0
neos-1330346,easy,5328,0.01,0.00,0.00,36,0,0,0
neos-3148108-pahi,easy,24482,0.08,0.01,0.16,6112,0,0,0
neos-3237086-abava,easy,100384,0.61,0.13,1.03,960,0,0,0
neos-578379,easy,34020,1.62,0.02,0.56,4288,2,377,0
neos-633273,easy,22308,0.10,0.02,0.04,484,0,0,0
neos-780889,easy,365400,3.80,0.49,7.09,26460,140,0,0
neos-831188,easy,9224,0.04,0.00,0.01,20,0,0,0
neos-876808,easy,174536,0.32,0.09,0.16,292,0,3512,0
sp97ar,easy,28202,0.08,0.03,0.02,0,1,0,0
supportcase14,easy,608,0.00,0.00,0.00,11,6,9,0
supportcase16,easy,638,0.00,0.00,0.01,11,6,11,0
supportcase4,easy,6324,0.01,0.00,0.00,0,2,0,0
academictimetablebig,hard,337948,9.94,1.01,8.82,171,228,682,6
bab1,hard,122304,2.27,0.14,0.54,23296,0,0,0
bab2,hard,295824,1.88,0.34,16.61,140,0,0,0
bab3,hard,787600,50.92,1.25,253.73,140,0,0,0
bab5,hard,43200,0.19,0.04,0.50,84,0,0,0
bab6,hard,228480,1.41,0.26,7.43,420,0,0,0
neos-3555904-turama,hard,74922,13.76,0.49,4.08,12493,4,2750,0
neos-4754521-awarau,hard,83360,0.19,0.07,5.09,21941,15,0,0
neos-4954274-beardy,hard,25730,0.16,0.02,0.36,90,0,0,0
pb-gfrd-pnc,hard,55776,0.09,0.03,0.03,0,0,550,0
pb-grow22,hard,50248,0.07,0.01,0.03,0,0,66,0
rail01,hard,235054,1.19,0.27,27.15,20788,3,0,0
rail02,hard,541738,3.56,0.42,65.45,39084,2,0,0
rail03,hard,1517550,7.62,1.71,573.22,112557,4,0,0
supportcase10,hard,29540,0.07,0.01,0.29,4855,0,0,0
supportcase22,hard,14258,0.03,0.01,0.00,640,0,0,0
supportcase3,hard,8382,0.02,0.00,0.00,0,3,0,0
supportcase2,open,5824,0.02,0.00,0.00,384,0,0,0
